date,Device category,Gender,Age,City,Kanal ID,Article ID,Total users,Views,categoryauto_new_rank1
20250727,desktop,female,25-34,Jakarta,2-207-431-1696,8030378,11,103,
20250727,desktop,female,25-34,Jakarta,2-2109-2156,8030375,11,11,
20250727,desktop,female,25-34,Jakarta,2-3-814-4,8030389,17,17,
20250727,desktop,female,25-34,Jakarta,2-605,(not set),28,86,
20250727,desktop,female,25-34,Jakarta,2-605-10,8031896,12,12,
20250727,desktop,female,25-34,Jakarta,2-835-1134-1548,8029646,12,122,
20250727,desktop,female,25-34,Jambi,(not set),(not set),20,27,
20250727,desktop,female,25-34,Jember,(not set),(not set),18,30,
20250727,desktop,female,25-34,Kediri,(not set),(not set),19,21,
20250727,desktop,female,25-34,Klaten,(not set),(not set),13,15,
20250727,desktop,female,25-34,Kudus,(not set),(not set),18,26,
20250727,desktop,female,25-34,Kupang,(not set),(not set),19,22,
20250727,desktop,female,25-34,Madiun,(not set),(not set),13,14,
20250727,desktop,female,25-34,Makassar,(not set),(not set),92,138,
20250727,desktop,female,25-34,Malang,(not set),(not set),36,48,
20250727,desktop,female,25-34,Manado,(not set),(not set),21,25,
20250727,desktop,female,25-34,Mataram,(not set),(not set),15,17,
20250727,desktop,female,25-34,Medan,(not set),(not set),74,99,
20250727,desktop,female,25-34,Medan,2-1909-1954,8030743,11,13,
20250727,desktop,female,25-34,Padang,(not set),(not set),27,38,
20250727,desktop,female,25-34,Palembang,(not set),(not set),56,85,
20250727,desktop,female,25-34,Palembang,2-1909-1954,8030743,10,11,
20250727,desktop,female,25-34,Palu,(not set),(not set),13,13,
20250727,desktop,female,25-34,Pekalongan,(not set),(not set),10,12,
20250727,desktop,female,25-34,Pekanbaru,(not set),(not set),40,67,
20250727,desktop,female,25-34,Pematangsiantar,(not set),(not set),18,21,
20250727,desktop,female,25-34,Pontianak,(not set),(not set),38,60,
20250727,desktop,female,25-34,Probolinggo,(not set),(not set),10,11,
20250727,desktop,female,25-34,Purwokerto,(not set),(not set),12,18,
20250727,desktop,female,25-34,Samarinda,(not set),(not set),20,27,
20250727,desktop,female,25-34,Semarang,(not set),(not set),141,211,
20250727,desktop,female,25-34,Semarang,2,(not set),21,32,
20250727,desktop,female,25-34,Sidoarjo,(not set),(not set),14,23,
20250727,desktop,female,25-34,Singapore,(not set),(not set),18,19,
20250727,desktop,female,25-34,Sorong,(not set),(not set),11,16,
20250727,desktop,female,25-34,South Tangerang,(not set),(not set),37,68,
20250727,desktop,female,25-34,South Tangerang,2,(not set),20,33,
20250727,desktop,female,25-34,Sukabumi,(not set),(not set),21,27,
20250727,desktop,female,25-34,Surabaya,(not set),(not set),147,208,
20250727,desktop,female,25-34,Surabaya,2-1909-1954,8030743,10,9,
20250727,desktop,female,25-34,Surakarta,(not set),(not set),78,116,
20250727,desktop,female,25-34,Tangerang,(not set),(not set),64,95,
20250727,desktop,female,25-34,Tangerang,2,(not set),10,9,
20250727,desktop,female,25-34,Tasikmalaya,(not set),(not set),25,39,
20250727,desktop,female,25-34,Teluk Ambon,(not set),(not set),16,18,
20250727,desktop,female,25-34,Tulungagung,(not set),(not set),14,19,
20250727,desktop,female,25-34,Yogyakarta,(not set),(not set),31,48,
20250727,desktop,female,35-44,Balikpapan,(not set),(not set),10,11,
20250727,desktop,female,35-44,Banda Aceh,(not set),(not set),12,27,
20250727,desktop,female,35-44,Bandar Lampung,(not set),(not set),34,38,
20250727,desktop,female,35-44,Bandung,(not set),(not set),86,128,
20250727,desktop,female,35-44,Bandung,2,(not set),14,23,
20250727,desktop,female,35-44,Banjarmasin,(not set),(not set),14,17,
20250727,desktop,female,35-44,Batam,(not set),(not set),14,22,
20250727,desktop,female,35-44,Bekasi,(not set),(not set),28,61,
20250727,desktop,female,35-44,Bekasi,2,(not set),17,29,
20250727,desktop,female,35-44,Bekasi Regency,(not set),(not set),33,73,
20250727,desktop,female,35-44,Bogor,(not set),(not set),10,14,
20250727,desktop,female,35-44,Cirebon,(not set),(not set),12,13,
20250727,desktop,female,35-44,Denpasar,(not set),(not set),40,88,
20250727,desktop,female,35-44,Depok,(not set),(not set),58,102,
20250727,desktop,female,35-44,Depok,2,(not set),14,19,
20250727,desktop,female,35-44,Jakarta,(not set),(not set),226,759,
20250727,desktop,female,35-44,Jakarta,2,(not set),81,180,
20250727,desktop,female,35-44,Jakarta,2-1909-1954,8030743,15,20,
20250727,desktop,female,35-44,Jambi,(not set),(not set),15,27,
20250727,desktop,female,35-44,Kuala Lumpur,(not set),(not set),14,15,
20250727,desktop,female,35-44,Kudus,(not set),(not set),13,18,
20250727,desktop,female,35-44,Kupang,(not set),(not set),17,18,
20250727,desktop,female,35-44,Makassar,(not set),(not set),66,81,
20250727,desktop,female,35-44,Makassar,2-1909-1954,8030743,11,12,
20250727,desktop,female,35-44,Malang,(not set),(not set),26,46,
20250727,desktop,female,35-44,Medan,(not set),(not set),59,121,
20250727,desktop,female,35-44,Padang,(not set),(not set),27,34,
20250727,desktop,female,35-44,Palembang,(not set),(not set),50,66,
20250727,desktop,female,35-44,Palembang,2-1909-1954,8030743,13,16,
20250727,desktop,female,35-44,Pekanbaru,(not set),(not set),37,58,
20250727,desktop,female,35-44,Pematangsiantar,(not set),(not set),23,29,
20250727,desktop,female,35-44,Pematangsiantar,2-1909-1954,8030743,10,16,
20250727,desktop,female,35-44,Pontianak,(not set),(not set),19,32,
20250727,desktop,female,35-44,Purwokerto,(not set),(not set),17,20,
20250727,desktop,female,35-44,Samarinda,(not set),(not set),10,13,
20250727,desktop,female,35-44,Semarang,(not set),(not set),89,161,
20250727,desktop,female,35-44,Semarang,2,(not set),13,21,
20250727,desktop,female,35-44,Singapore,(not set),(not set),18,27,
20250727,desktop,female,35-44,South Tangerang,(not set),(not set),29,68,
